SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
188300,Acacia Bay,189100,Hilltop (Taupo District),0,0,0,42,0,24,0,0,0,0,0,69
191400,Kaimai,194500,Tauriko,0,0,0,42,0,24,0,0,0,0,0,66
155900,Papatoetoe South West,154200,Aorere South,0,0,0,30,0,0,0,0,21,0,0,60
119600,Westgate South,117300,Albany Central,0,9,0,0,0,0,0,0,0,0,0,9
116200,Gulf Harbour South,133200,Queen Street,0,0,0,0,6,0,0,0,0,0,0,12
165800,Rooseville Park,165900,Cloverlea (Auckland),0,0,0,12,0,0,0,0,0,0,0,15
325100,Parklands,327100,Christchurch Central-South,0,24,0,9,30,0,0,0,0,0,0,66
101900,Kaeo,101500,Whakapaku,0,0,0,6,0,15,0,0,0,0,0,24
231200,West End,231400,Milverton,0,0,0,12,0,0,0,0,0,0,0,9
330100,Woolston North,321200,Ilam University,0,21,0,0,12,0,0,0,0,0,0,36
244900,Stokes Valley North,251400,Wellington Central,0,0,0,0,0,0,0,0,0,0,0,6
188200,Wairakei-Broadlands,188600,Taupo Central West,0,0,0,9,0,0,0,0,0,0,0,15
136500,New Lynn South,132200,Mount Albert North,0,0,0,0,0,0,0,0,0,0,0,6
159400,Clarks Beach,162500,Hingaia,0,0,0,12,0,6,0,0,0,0,0,21
316900,Belfast West,317800,Bishopdale North,0,0,0,12,0,0,0,0,0,0,0,12
353500,Maryhill,354200,Caversham,0,0,0,0,0,0,0,0,0,0,0,9
246300,Manuka,244500,Stokes Valley Central,0,0,0,6,0,0,0,0,0,0,0,6
113900,Red Beach West,114000,Red Beach East,0,0,0,54,0,0,0,0,21,0,0,78
152200,Botany Downs West,148000,Eastern Beach,0,0,0,15,0,0,0,0,0,0,0,21
176700,St James,179700,Hamilton East Village,0,0,0,18,12,0,0,0,0,0,0,27
107800,Oakleigh-Mangapai,106800,Mairtown,0,0,0,0,0,0,0,0,0,0,0,6
105500,Kamo West,107100,Whangarei Central,0,12,0,33,0,18,0,0,0,0,0,66
213200,Taradale South,213300,Bluff Hill,0,0,0,0,0,12,0,0,0,0,0,18
136000,Eden Terrace,140300,Mount St John,0,0,0,0,0,0,0,0,0,0,0,6
135900,Symonds Street East,134800,Auckland-University,0,0,0,0,33,0,0,0,705,0,0,747
131900,Mount Albert West,136200,Eden Park,0,0,0,0,0,0,27,0,0,0,0,30
221700,King Edward Park,221800,Ramanui,0,0,0,24,0,0,0,0,12,0,0,36
247200,Eastbourne,246700,Eastern Bays ,0,0,0,18,0,0,0,0,0,0,0,21
149100,Mount Wellington South West,150100,Otahuhu Central,0,0,0,15,0,0,0,0,0,0,0,18
172100,Ngaruawahia Central,172200,Ngaruawahia South,0,0,0,30,0,0,0,0,39,0,0,72
225800,Gonville South,225600,Kaitoke-Fordell,0,0,0,9,0,6,0,0,0,0,0,21
184400,Sherwin Park,183300,Te Awamutu North,0,0,0,12,0,0,0,0,0,0,0,12
323300,Riccarton West,324900,Hagley Park,0,0,0,0,0,0,0,9,0,0,0,12
209100,Flaxmere Park,209900,Raureka,0,0,0,9,0,0,0,0,0,0,0,9
143600,Hillsborough South (Auckland),117400,Albany West,0,6,0,0,0,0,0,0,0,0,0,6
131200,Ponsonby East,133500,Grey Lynn East,0,0,0,0,0,0,0,0,9,0,0,15
355300,Musselburgh,351500,Maori Hill,0,0,0,0,0,0,0,0,0,0,0,6
155400,Botany South,154400,Otara Central,0,6,0,0,6,0,0,0,0,0,0,12
255200,Seatoun,250600,Karori East,0,0,0,0,0,0,0,0,0,0,0,9
156600,Dannemora South,155500,Manukau Central,0,0,0,0,0,0,0,0,0,0,0,6
323400,Shirley West,326600,Christchurch Central,0,9,0,0,0,0,0,0,0,0,0,6
107400,Tarewa,107700,Otaika-Portland,0,0,0,9,0,0,0,0,0,0,0,12
200800,Glenholme South,199800,Kuirau,0,0,0,12,0,0,0,0,9,0,0,30
121800,Beach Haven West,124600,Glenfield East,0,0,0,0,0,0,0,0,0,0,0,6
217200,Whalers Gate,217400,Westown ,0,0,0,18,0,0,0,6,0,0,0,36
339200,Pleasant Point,341300,Parkside,0,0,0,0,0,24,0,0,0,0,0,30
228500,Kimbolton South,232700,Poutoa,0,0,0,6,0,0,0,0,0,0,0,9
